    1024,   32,         32,      0.009
    1024,   64,         16,      0.015
    1024,  128,          8,      0.012
    1024,  256,          4,      0.012
    2048,   32,         64,      0.034
    2048,   64,         32,      0.025
    2048,  128,         16,      0.016
    2048,  256,          8,      0.022
    4096,   32,        128,      0.048
    4096,   64,         64,      0.059
    4096,  128,         32,      0.047
    4096,  256,         16,      0.052
    8192,   32,        256,      0.089
    8192,   64,        128,      0.118
    8192,  128,         64,      0.147
    8192,  256,         32,      0.125
   16384,   32,        512,      0.174
   16384,   64,        256,      0.174
   16384,  128,        128,      0.216
   16384,  256,         64,      0.181
   32768,   32,       1024,      0.409
   32768,   64,        512,      0.416
   32768,  128,        256,      0.509
   32768,  256,        128,      0.472
   65536,   32,       2048,      0.687
   65536,   64,       1024,      0.859
   65536,  128,        512,      0.811
   65536,  256,        256,      0.664
  131072,   32,       4096,      0.370
  131072,   64,       2048,      0.457
  131072,  128,       1024,      0.469
  131072,  256,        512,      0.496
  262144,   32,       8192,      0.812
  262144,   64,       4096,      0.861
  262144,  128,       2048,      1.086
  262144,  256,       1024,      0.978
  524288,   32,      16384,      1.265
  524288,   64,       8192,      1.961
  524288,  128,       4096,      1.535
  524288,  256,       2048,      1.727
 1048576,   32,      32768,      2.045
 1048576,   64,      16384,      2.425
 1048576,  128,       8192,      3.262
 1048576,  256,       4096,      2.411
 2097152,   32,      65536,      2.507
 2097152,   64,      32768,      3.255
 2097152,  128,      16384,      4.054
 2097152,  256,       8192,      3.813
 4194304,   32,     131072,      3.043
 4194304,   64,      65536,      4.423
 4194304,  128,      32768,      6.176
 4194304,  256,      16384,      4.971
 8388608,   32,     262144,      3.485
 8388608,   64,     131072,      5.398
 8388608,  128,      65536,      7.455
 8388608,  256,      32768,      6.415
